ScientificName	Lineage	Superorder	VGP_genome	existing_genome	VGP_genome-length	existing_genome-length	VGP_UR	existing_UR	VGP_HCRM	existing_HCRM	VGP_RR	existing_RR	existing_to_VGP_RR_ratio
Clarias_gariepinus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_024256435.1	GCA_030014235.1	972626570	837161107	0.79	0.92	199.7	134.54	0.21	0.08	1.16455696202532
Pygocentrus_nattereri	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_015220715.1	GCA_001682695.1	1211880525	1240581979	0.8	0.78	344.74	256.66	0.2	0.22	0.975
Astyanax_mexicanus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_023375975.1	GCA_004802775.1	1372815157	960198970	0.71	0.9	193.1	66.99	0.29	0.1	1.26760563380282
Electrophorus_electricus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_041902795.1	GCA_003665695.2	830835555	530994579	0.59	0.93	431.5	308.68	0.41	0.07	1.57627118644068
Gobio_gobio	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_949357685.1	GCA_021464655.1	1455649859	1489851046	0.55	0.54	250.46	250.86	0.45	0.46	0.981818181818182
Rutilus_rutilus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_951802725.1	GCA_029875115.1	1100084770	832436163	0.63	0.83	310.83	128.66	0.37	0.17	1.31746031746032
Scardinius_erythrophthalmus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_964197995.1	GCA_024453875.1	1228161602	1134972314	0.57	0.61	287.94	283.29	0.43	0.39	1.07017543859649
Squalius_cephalus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_949319135.1	GCA_029874105.1	1101792102	850464963	0.63	0.82	355.97	143.32	0.37	0.18	1.3015873015873
Phoxinus_phoxinus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_949152265.1	GCA_037504845.1	949840849	929034825	0.67	0.68	285.43	298.39	0.33	0.32	1.01492537313433
Cyprinella_venusta	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_038024135.1	GCA_027361055.1	928549347	661123725	0.64	0.88	449.37	80.53	0.36	0.12	1.375
Danio_rerio	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_944039275.1	GCA_008692375.1	1409213357	1288326741	0.73	0.73	311.75	337.01	0.27	0.27	1
Sprattus_sprattus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_963457725.1	GCA_041430245.1	831976925	780183726	0.73	0.65	266.83	236.34	0.27	0.35	0.89041095890411
Alosa_sapidissima	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_018492685.1	GCA_019202745.1	895570158	916219859	0.7	0.66	273.56	259.41	0.3	0.34	0.942857142857143
Sardina_pilchardus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_963854185.1	GCA_049901815.1	859436723	908020497	0.73	0.62	356.52	296.25	0.27	0.38	0.849315068493151
Coilia_mystus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_048544225.1	GCA_050626335.1	849000105	886798721	0.79	0.77	376.33	386.45	0.21	0.23	0.974683544303797
Salvelinus_alpinus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_036784965.1	GCA_036784965.1	2121646592	2121646592	0.5	0.5	118.47	118.47	0.5	0.5	1
Esox_lucius	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_011004845.1	GCA_000721915.3	917720929	889401126	0.79	0.86	74.86	30.68	0.21	0.14	1.08860759493671
Osmerus_eperlanus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_963692335.1	GCA_900302275.1	508124802	339039491	0.74	0.92	403.79	136.43	0.26	0.08	1.24324324324324
Borostomias_antarcticus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_949987555.1	GCA_900323325.1	907495681	425599508	0.57	0.84	594.62	388.66	0.43	0.16	1.47368421052632
Amblyopsis_spelaea	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_046255685.1	GCA_027564775.1	817325199	545808704	0.61	0.9	251.18	278.18	0.39	0.1	1.47540983606557
Zeus_faber	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_960531495.1	GCA_900323335.1	801095312	604191460	0.8	0.9	410.46	401.8	0.2	0.1	1.125
Sparus_aurata	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_900880675.1	GCA_003309015.1	833216043	759150741	0.84	0.95	147.83	75.94	0.16	0.05	1.13095238095238
Acanthopagrus_latus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_904848185.1	GCA_013436515.1	685122847	804392701	0.94	0.72	296.42	253.89	0.0600000000000001	0.28	0.765957446808511
Chelmon_rostratus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_017976325.1	GCA_037975115.1	644194381	631004568	0.93	0.94	114.93	100.66	0.07	0.0600000000000001	1.01075268817204
Scatophagus_argus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_020382885.2	GCA_030323985.1	569086963	659295986	0.94	0.96	71.42	78.77	0.0600000000000001	0.04	1.02127659574468
Takifugu_rubripes	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_901000725.2	GCA_000180615.2	380422233	349810940	0.81	0.88	187.08	154.37	0.19	0.12	1.08641975308642
Lateolabrax_maculatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_031216445.1	GCA_004028665.1	632507195	579776665	0.9	0.96	133.64	136.45	0.1	0.04	1.06666666666667
Micropterus_salmoides	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_019677235.1	GCA_014851395.1	877308026	961913100	0.79	0.67	182.16	88.57	0.21	0.33	0.848101265822785
Tautogolabrus_adspersus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_020745685.1	GCA_024362835.1	719185606	588904060	0.87	0.92	232.6	137.61	0.13	0.08	1.05747126436782
Symphodus_melops	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_947650265.1	GCA_900323315.1	635634973	529539043	0.83	0.95	303.62	269.25	0.17	0.05	1.14457831325301
Labrus_bergylta	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_963930695.1	GCA_900080235.1	719279772	804204147	0.83	0.7	251.18	177.57	0.17	0.3	0.843373493975904
Sebastes_fasciatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_043250625.1	GCA_916700765.1	833730653	793970086	0.79	0.82	147.67	123.85	0.21	0.18	1.0379746835443
Sebastes_umbrosus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_015220745.1	GCA_916701575.1	799499538	963646170	0.83	0.59	88.1	97.59	0.17	0.41	0.710843373493976
Cyclopterus_lumpus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_009769545.1	GCA_021186565.1	562691541	570512130	0.84	0.83	445.2	347.31	0.16	0.17	0.988095238095238
Pungitius_pungitius	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_949316345.1	GCA_003399555.1	480259140	374387129	0.81	0.97	171.33	238.38	0.19	0.03	1.19753086419753
Spinachia_spinachia	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_048126635.1	GCA_048126635.1	407528637	407528637	0.9	0.9	193.66	193.66	0.1	0.1	1
Gasterosteus_aculeatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_964276395.1	GCA_006229165.1	511075257	451558297	0.8	0.87	196.75	147.14	0.2	0.13	1.0875
Notothenia_rossii	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_949606895.1	GCA_943590865.1	1034189663	839219829	0.58	0.68	162.67	147.58	0.42	0.32	1.17241379310345
Epinephelus_lanceolatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_041903045.1	GCA_005281545.1	1089378288	1047316089	0.81	0.82	87.22	70.63	0.19	0.18	1.01234567901235
Pleuronectes_platessa	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_947347685.1	GCA_902825255.1	687130874	583115223	0.76	0.91	278.18	205.84	0.24	0.09	1.19736842105263
Platichthys_flesus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_949316205.1	GCA_029874915.1	597006841	555970528	0.88	0.93	218.39	132.28	0.12	0.07	1.05681818181818
Scophthalmus_maximus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_963854745.1	GCA_003186165.1	549129526	511572538	0.92	0.96	263.54	88.75	0.08	0.04	1.04347826086957
Anabas_testudineus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_900324465.2	GCA_900302665.1	552041995	522216822	0.92	0.96	142.13	135.2	0.08	0.04	1.04347826086957
Betta_splendens	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_900634795.4	GCA_003650155.1	426959369	410881077	0.87	0.87	508.56	380.03	0.13	0.13	1
Mastacembelus_armatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_900324485.2	GCA_019455525.1	578709413	589769434	0.88	0.86	104.3	98.68	0.12	0.14	0.977272727272727
Rhamphochromis_sp._chilingali	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_963969265.1	GCA_049997595.1	921084690	851593137	0.73	0.77	218.72	207.75	0.27	0.23	1.05479452054795
Odontesthes_bonariensis	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_027942865.1	GCA_014825785.1	945717966	652675889	0.68	0.87	62.54	47.53	0.32	0.13	1.27941176470588
Menidia_menidia	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_048628825.1	GCA_965154125.1	571149669	598177365	0.83	0.76	213.97	76.75	0.17	0.24	0.91566265060241
Chelon_labrosus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_963514085.1	GCA_029874265.1	717268953	668652562	0.82	0.88	43.72	21.03	0.18	0.12	1.07317073170732
Thunnus_albacares	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_914725855.1	GCA_900302625.1	792073891	724150947	0.89	0.94	138.74	107.86	0.11	0.0600000000000001	1.0561797752809
Thunnus_maccoyii	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_910596095.1	GCA_025435535.1	782385872	783639269	0.9	0.91	135.32	94.37	0.1	0.09	1.01111111111111
Thunnus_thynnus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_963924715.1	GCA_003231725.1	798935856	625654724	0.89	0.96	130.62	0.09	0.11	0.04	1.07865168539326
Aulostomus_maculatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_048301465.1	GCA_048301465.1	662917352	662917352	0.87	0.87	334.69	334.69	0.13	0.13	1
Periophthalmus_magnuspinnatus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_009829125.3	GCA_026225835.1	745402139	733644035	0.83	0.87	161.26	145.74	0.17	0.13	1.04819277108434
Sphaeramia_orbicularis	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_902148855.1	GCA_049176915.1	1339031041	1100259657	0.64	0.81	254.51	161.86	0.36	0.19	1.265625
Syngnathus_typhle	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_048301445.1	GCA_901007915.1	368285539	292192627	0.73	0.91	355.6	64.01	0.27	0.09	1.24657534246575
Diretmus_argenteus	Fishes	Actinopterygii (Ray-finned Fishes)	GCA_048569125.1	GCA_900660295.1	1511511428	295741367	0.41	0.85	216.44	163.83	0.59	0.15	2.07317073170732
Lampris_incognitus	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_029633865.1	GCA_022059245.1	1479365749	1363225718	0.59	0.68	200.49	218.64	0.41	0.32	1.15254237288136
Gadus_morhua	Fishes	Actinopterygii (Ray-finned Fishes)	GCF_902167405.1	GCA_900302565.1	638418359	484868154	0.75	0.88	260.6	373.65	0.25	0.12	1.17333333333333
Protopterus_annectens	Fishes	Sarcopterygii (Lobe-finned fishes)	GCA_040939525.1	GCA_019279795.1	40289876398	38864562579	0.52	0.54	22.22	24.63	0.48	0.46	1.03846153846154
Latimeria_chalumnae	Fishes	Sarcopterygii (Lobe-finned fishes)	GCF_037176945.1	GCA_000225785.1	2947567857	2174821521	0.67	0.85	62.32	39.31	0.33	0.15	1.26865671641791
Ranitomeya_imitator	Amphibians	Anura	GCF_032444005.1	GCA_958301615.1	5953256620	6018230552	0.36	0.44	127.74	45.11	0.64	0.56	1.22222222222222
Engystomops_pustulosus	Amphibians	Anura	GCF_040894005.1	GCA_019512145.1	2158074963	2542005900	0.59	0.7	105.94	22.91	0.41	0.3	1.1864406779661
Eleutherodactylus_coqui	Amphibians	Anura	GCF_035609145.1	GCA_019857665.1	3371117278	2353263031	0.57	0.81	107.76	51.87	0.43	0.19	1.42105263157895
Rana_temporaria	Amphibians	Anura	GCF_905171775.1	GCA_009802015.1	4081790644	2568384633	0.55	0.76	65.14	57.83	0.45	0.24	1.38181818181818
Spea_bombifrons	Amphibians	Anura	GCF_027358695.1	GCA_009364475.1	983828946	716407664	0.77	0.75	135.58	14.47	0.23	0.25	0.974025974025974
Ascaphus_truei	Amphibians	Anura	GCA_040206685.1	GCA_036426205.1	3709878841	3078093205	0.49	0.68	84.51	72.98	0.51	0.32	1.38775510204082
Tursiops_truncatus	Mammals	Laurasiatheria	GCF_011762595.1	GCA_001922835.1	2372268617	2116784336	0.85	0.91	87.01	46.83	0.15	0.09	1.07058823529412
Grampus_griseus	Mammals	Laurasiatheria	GCA_964374135.1	GCA_028646425.1	2666785808	2496692347	0.76	0.8	77.57	51.92	0.24	0.2	1.05263157894737
Globicephala_melas	Mammals	Laurasiatheria	GCF_963455315.2	GCA_006547405.1	2650997154	2323321890	0.76	0.87	98.91	39.51	0.24	0.13	1.14473684210526
Orcinus_orca	Mammals	Laurasiatheria	GCF_937001465.1	GCA_000331955.2	2647309901	2247178893	0.77	0.9	56.94	46.82	0.23	0.1	1.16883116883117
Monodon_monocero	Mammals	Laurasiatheria	GCA_005190385.3	GCA_029941395.3	2341910888	2333998027	0.87	0.86	42.54	40.6	0.13	0.14	0.988505747126437
Phocoena_phocoena	Mammals	Laurasiatheria	GCF_963924675.1	GCA_004363495.1	2512477762	2659566800	0.81	0.77	45.32	95.61	0.19	0.23	0.950617283950617
Inia_geoffrensis	Mammals	Laurasiatheria	GCA_036417435.1	GCA_004363515.1	2749270495	2558970713	0.75	0.78	58.1	89.97	0.25	0.22	1.04
Mesoplodon_bidens	Mammals	Laurasiatheria	GCA_964165515.1	GCA_004027085.1	2998798595	2741737281	0.67	0.72	49.48	90.84	0.33	0.28	1.07462686567164
Hyperoodon_ampullatus	Mammals	Laurasiatheria	GCA_949752795.1	GCA_024363105.1	2828485462	2326720712	0.71	0.86	63.71	41.24	0.29	0.14	1.2112676056338
Kogia_breviceps	Mammals	Laurasiatheria	GCF_026419965.1	GCA_004363705.1	2551035757	2719776900	0.79	0.72	57.41	96.24	0.21	0.28	0.911392405063291
Balaenoptera_physalus	Mammals	Laurasiatheria	GCA_965194825.1	GCA_023338255.1	3442127861	2368344926	0.6	0.87	96.15	33.79	0.4	0.13	1.45
Megaptera_novaeangliae	Mammals	Laurasiatheria	GCA_041834305.1	GCA_004329385.1	3146552166	2130595162	0.65	0.94	74.57	21.08	0.35	0.0600000000000001	1.44615384615385
Eschrichtius_robustus	Mammals	Laurasiatheria	GCF_028021215.1	GCA_004363415.1	2982333321	2585106898	0.69	0.8	83.38	59.75	0.31	0.2	1.15942028985507
Capra_hircus	Mammals	Laurasiatheria	GCA_041735815.1	GCA_000317765.2	2863922745	2714507137	0.75	0.76	93.18	30.64	0.25	0.24	1.01333333333333
Ovis_canadensis	Mammals	Laurasiatheria	GCF_042477335.2	GCA_004026945.1	2974281883	2830991183	0.72	0.76	190.08	81.83	0.28	0.24	1.05555555555556
Ovis_aries	Mammals	Laurasiatheria	GCA_040805955.1	GCA_000298735.2	2853625237	2585989943	0.75	0.83	74.78	30.08	0.25	0.17	1.10666666666667
Muntiacus_reevesi	Mammals	Laurasiatheria	GCF_963930625.1	GCA_008787405.2	2656003670	2513154346	0.8	0.85	35.07	26.41	0.2	0.15	1.0625
Sus_scrofa	Mammals	Laurasiatheria	GCA_048338725.1	GCA_046128825.1	2633165591	2417815750	0.81	0.87	41.5	50.19	0.19	0.13	1.07407407407407
Camelus_dromedarius	Mammals	Laurasiatheria	GCF_036321535.1	GCA_000803125.3	2306553114	2150251057	0.82	0.92	125.14	15.98	0.18	0.08	1.1219512195122
Neofelis_nebulosa	Mammals	Laurasiatheria	GCF_028018385.1	GCA_027422525.1	2466974821	2404216162	0.88	0.9	82.31	72.94	0.12	0.1	1.02272727272727
Panthera_onca	Mammals	Laurasiatheria	GCA_046562885.1	GCA_028533385.1	2303309455	2467693922	0.9	0.87	67.83	75.29	0.1	0.13	0.966666666666667
Lycaon_pictus	Mammals	Laurasiatheria	GCA_040955705.1	GCA_004216515.1	2383997998	2103278072	0.89	0.93	74.1	67.12	0.11	0.07	1.04494382022472
Canis_lupus_familiaris	Mammals	Laurasiatheria	GCF_011100685.1	GCA_012044875.1	2481841392	2384223749	0.86	0.89	68.28	72.59	0.14	0.11	1.03488372093023
Vulpes_vulpes	Mammals	Laurasiatheria	GCA_964106825.2	GCA_003160815.1	2411289095	2339979411	0.88	0.9	62.98	59.38	0.12	0.1	1.02272727272727
Halichoerus_grypus	Mammals	Laurasiatheria	GCA_964656455.1	GCA_012393455.1	2399813647	2338038643	0.87	0.89	38.17	33.24	0.13	0.11	1.02298850574713
Zalophus_californianus	Mammals	Laurasiatheria	GCF_009762305.2	GCA_900631625.1	2391140536	2365843421	0.89	0.89	62.22	61.28	0.11	0.11	1
Mustela_nivalis_vulgaris	Mammals	Laurasiatheria	GCA_964662115.1	GCA_048197165.1	3437102446	2428828694	0.64	0.9	32.08	36.11	0.36	0.1	1.40625
Neogale_vison	Mammals	Laurasiatheria	GCA_964106545.1	GCA_900108605.1	2696454319	2269325832	0.81	0.93	32.15	27.26	0.19	0.07	1.14814814814815
Martes_martes	Mammals	Laurasiatheria	GCA_963455335.1	GCA_040938825.1	2484118351	2373610836	0.87	0.91	40.28	40.91	0.13	0.09	1.04597701149425
Manis_pentadactyla	Mammals	Laurasiatheria	GCF_030020395.1	GCA_014570555.1	2833570239	2291219306	0.72	0.88	27.58	17.62	0.28	0.12	1.22222222222222
Equus_caballus	Mammals	Laurasiatheria	GCA_036426135.1	GCA_000696655.1	2596693226	2370459567	0.86	0.94	79.51	15.4	0.14	0.0600000000000001	1.09302325581395
Tapirus_indicus	Mammals	Laurasiatheria	GCA_031878705.1	GCA_004024905.1	2477418479	2416235771	0.89	0.91	27.41	29.99	0.11	0.09	1.02247191011236
Diceros_bicornis_minor	Mammals	Laurasiatheria	GCF_020826845.1	GCA_013634535.1	3004128029	2188270947	0.75	0.96	150.47	10.21	0.25	0.04	1.28
Desmodus_rotundus	Mammals	Laurasiatheria	GCA_022682495.2	GCA_002940915.3	2119412130	2015097812	0.87	0.91	15.39	10.17	0.13	0.09	1.04597701149425
Pipistrellus_pipistrellus	Mammals	Laurasiatheria	GCA_903992545.1	GCA_004026625.1	1762913796	2066738608	0.89	0.75	122.87	217.94	0.11	0.25	0.842696629213483
Eptesicus_fuscus	Mammals	Laurasiatheria	GCF_027574615.1	GCA_000308155.1	2008025619	1806369216	0.85	0.91	90.21	61.12	0.15	0.09	1.07058823529412
Antrozous_pallidus	Mammals	Laurasiatheria	GCA_027563665.1	GCA_007922775.1	2120565624	2569972583	0.84	0.63	95.09	145.39	0.16	0.37	0.75
Myotis_myotis	Mammals	Laurasiatheria	GCF_014108235.1	GCA_004026985.1	1973825434	2262059206	0.86	0.74	93.03	141.92	0.14	0.26	0.86046511627907
Miniopterus_schreibersii	Mammals	Laurasiatheria	GCA_964146895.2	GCA_004026525.1	1850552554	1769618835	0.89	0.93	149.71	33.56	0.11	0.07	1.04494382022472
Tadarida_brasiliensis	Mammals	Laurasiatheria	GCA_030848825.1	GCA_004025005.1	2283177809	2677348608	0.84	0.68	69.54	89.4	0.16	0.32	0.80952380952381
Rhinolophus_affinis	Mammals	Laurasiatheria	GCA_043728065.1	GCA_040057535.1	2291571989	2023806117	0.84	0.93	429.46	41.96	0.16	0.07	1.10714285714286
Rhinolophus_ferrumequinum	Mammals	Laurasiatheria	GCF_004115265.2	GCA_007922735.1	2068213759	2173118019	0.93	0.88	65.72	92	0.07	0.12	0.946236559139785
Rousettus_aegyptiacus	Mammals	Laurasiatheria	GCF_014176215.1	GCA_015472805.1	1866919447	1885777984	0.97	0.97	50.53	48.44	0.03	0.03	1
Erinaceus_europaeus	Mammals	Laurasiatheria	GCF_950295315.1	GCA_000296755.1	2719783811	2326289108	0.71	0.82	114.57	107.48	0.29	0.18	1.15492957746479
Sorex_araneus	Mammals	Laurasiatheria	GCF_027595985.1	GCA_000181275.2	2393004824	2186049486	0.83	0.89	233.68	107.8	0.17	0.11	1.07228915662651
Ochotona_princeps	Mammals	Supraprimates (Euarchontoglires)	GCF_030435755.1	GCA_014633375.1	2555169421	1939942452	0.74	0.93	248.01	43.43	0.26	0.07	1.25675675675676
Oryctolagus_cuniculus	Mammals	Supraprimates (Euarchontoglires)	GCF_964237555.1	GCA_009806435.2	2804127309	2774968344	0.79	0.78	55.19	49.78	0.21	0.22	0.987341772151899
Rattus_norvegicus	Mammals	Supraprimates (Euarchontoglires)	GCF_015227675.2	GCA_000001895.4	2625275977	2725129036	0.83	0.78	149.09	138.62	0.17	0.22	0.939759036144578
Apodemus_sylvaticus	Mammals	Supraprimates (Euarchontoglires)	GCF_947179515.1	GCA_001305905.1	2889510805	1944964399	0.76	0.98	175.72	39.19	0.24	0.02	1.28947368421053
Mus_musculus	Mammals	Supraprimates (Euarchontoglires)	GCA_949316315.1	GCA_001624295.1	2770761745	2344529712	0.77	0.9	204.35	154.97	0.23	0.1	1.16883116883117
Onychomys_torridus	Mammals	Supraprimates (Euarchontoglires)	GCF_903995425.1	GCA_004026725.1	2440618370	3130572296	0.88	0.69	127.13	124.24	0.12	0.31	0.784090909090909
Jaculus_jaculus	Mammals	Supraprimates (Euarchontoglires)	GCF_020740685.1	GCA_000280705.1	2850140851	2460129951	0.81	0.88	117.03	65.2	0.19	0.12	1.08641975308642
Castor_canadensis	Mammals	Supraprimates (Euarchontoglires)	GCA_047511655.1	GCA_001984765.1	2828032411	2517240314	0.8	0.85	35.18	57.92	0.2	0.15	1.0625
Urocitellus_parryii	Mammals	Supraprimates (Euarchontoglires)	GCA_045843805.1	GCA_003426925.1	2935568249	2183075907	0.74	0.94	99.69	77.17	0.26	0.0600000000000001	1.27027027027027
Marmota_flaviventris	Mammals	Supraprimates (Euarchontoglires)	GCF_047511675.1	GCA_003676075.3	2704561697	2524935995	0.82	0.88	66.1	44.17	0.18	0.12	1.07317073170732
Sciurus_carolinensis	Mammals	Supraprimates (Euarchontoglires)	GCF_902686445.1	GCA_028643795.1	2814715457	3097296060	0.83	0.73	39.3	44.13	0.17	0.27	0.879518072289157
Muscardinus_avellanarius	Mammals	Supraprimates (Euarchontoglires)	GCA_963383645.1	GCA_004027005.1	2496365581	2509967495	0.81	0.81	166.75	172.29	0.19	0.19	1
Ctenodactylus_gundi	Mammals	Supraprimates (Euarchontoglires)	GCA_048771875.1	GCA_004027205.1	2184365445	2295769050	0.9	0.86	111.22	167.22	0.1	0.14	0.955555555555555
Erethizon_dorsatum	Mammals	Supraprimates (Euarchontoglires)	GCA_028451465.1	GCA_006547115.1	2432067200	2395227372	0.88	0.89	41.98	34.84	0.12	0.11	1.01136363636364
Pongo_abelii	Mammals	Supraprimates (Euarchontoglires)	GCF_028885655.2	GCA_000001545.3	3251807543	3080650852	0.76	0.76	29.26	26.44	0.24	0.24	1
Pan_troglodytes	Mammals	Supraprimates (Euarchontoglires)	GCF_028858775.2	GCA_000001515.5	3172755386	3130435865	0.77	0.77	50.52	38.64	0.23	0.23	1
Pan_paniscus	Mammals	Supraprimates (Euarchontoglires)	GCF_029289425.2	GCA_000258655.2	3239869161	2721725394	0.75	0.88	109.43	29.94	0.25	0.12	1.17333333333333
Homo_sapiens	Mammals	Supraprimates (Euarchontoglires)	GCA_009914755.4	GCA_000306695.2	3117291320	2826426579	0.78	0.85	75.63	36.1	0.22	0.15	1.08974358974359
Gorilla_gorilla	Mammals	Supraprimates (Euarchontoglires)	GCF_029281585.2	GCA_000151905.3	3533958271	2912013353	0.69	0.8	194.29	73.82	0.31	0.2	1.15942028985507
Symphalangus_syndactylus	Mammals	Supraprimates (Euarchontoglires)	GCF_028878055.3	GCA_028642525.1	3261903353	2844109277	0.73	0.81	166.32	42.26	0.27	0.19	1.10958904109589
Macaca_fascicularis	Mammals	Supraprimates (Euarchontoglires)	GCF_037993035.1	GCA_000364345.1	3042913745	2801208082	0.8	0.86	88.55	45.83	0.2	0.14	1.075
Macaca_nemestrina	Mammals	Supraprimates (Euarchontoglires)	GCF_043159975.1	GCA_000956065.1	3116224640	2835663600	0.78	0.89	106.9	30.38	0.22	0.11	1.14102564102564
Callithrix_jacchus	Mammals	Supraprimates (Euarchontoglires)	GCA_049354715.1	GCA_002754865.1	2933237222	2833210978	0.81	0.84	32.96	47.32	0.19	0.16	1.03703703703704
Lemur_catta	Mammals	Supraprimates (Euarchontoglires)	GCF_020740605.2	GCA_004024665.1	2241948078	2280589192	0.86	0.87	296.86	67.59	0.14	0.13	1.01162790697674
