taxon_id,taxon_rank,scientific_name,assembly_id,bioproject,ucsc_assembly_name,refseq_accession,assembly_name,assembly_id,order,class,busco_completeness,assembly_level,assembly_span,contig_n50,scaffold_n50,contig_l50,scaffold_l50,contig_count,scaffold_count,chromosome_count,n_percent,assembly_status,biosample_representative,V25,last_updated,sample_sex,assembly_type,refseq_category,submitter,ebp_standard_criteria,V32
7994,species,Astyanax mexicanus,GCA_004802775.1,PRJNA533584,,,Astyanax_mexicanus-1.0.2,GCA_004802775.1,Characiformes,Actinopteri,92,Scaffold,1'191'242'572,14'739,1'775'308,16'919,185,121'345,10'735,,19.06,,primary,,2019-04-22,female,haploid,,Aquatic Genome Models,,
8005,species,Electrophorus electricus,GCA_003665695.2,,,GCF_003665695.1,Ee_SOAP_WITH_SSPACE,GCA_003665695.2,Gymnotiformes,Actinopteri,NA,Scaffold,551'880'868,37'141,613'956,3'868,238,47'652,8'786,,,primary,primary,,2018-10-30,not determined,haploid,,University of Wisconsin Madison,,
8010,species,Esox lucius,GCA_000721915.3,PRJNA221548,,GCF_000721915.3,Eluc_V3,GCA_000721915.3,Esociformes,Actinopteri,96.2,Chromosome,904'480'558,125'635,7'945'253,1'991,29,18'749,1'210,25,1.35,primary,primary,,2017-01-18,male,haploid,,Ben F Koop, Jong S Leong,,
8049,species,Gadus morhua,GCA_900302565.1,PRJEB12469,,,ASM90030256v1,GCA_900302565.1,Gadiformes,Actinopteri,67.3,Scaffold,495'065'230,5'765,16'818,24'600,7'789,131'183,52'137,,0.41000000000000000,,primary,,2018-03-20,,haploid,,CEES,,
8103,species,Cyclopterus lumpus,GCA_021186565.1,,,,lmpF_NL,GCA_021186565.1,Perciformes,Actinopteri,NA,Scaffold,577'597'370,890'282,23'702'771,138,11,4'053,598,,,,primary,,2021-12-14,female,haploid,,Memorial University of Newfoundland,,
8175,species,Sparus aurata,GCA_003309015.1,,,,ASM330901v1,GCA_003309015.1,Spariformes,Actinopteri,NA,Chromosome,830'381'975,32'411,20'611'436,6'396,18,66'867,34'642,24,,,primary,,2018-07-19,not applicable,haploid,,University of Padova,,
8177,species,Acanthopagrus latus,GCA_013436515.1,,,,ASM1343651v1,GCA_013436515.1,Spariformes,Actinopteri,NA,Chromosome,806'072'371,1'174'323,30'688'393,187,12,7'260,4'265,24,,,primary,,2020-07-23,female,haploid,,South China Sea Fisheries Research Institute,6.7;6.C,
8236,species,Thunnus albacares,GCA_900302625.1,PRJEB12469,,,ASM90030262v1,GCA_900302625.1,Scombriformes,Actinopteri,86.5,Scaffold,728'212'003,16'808,46'920,12'005,4'284,84'919,38'995,,0.21,,primary,,2018-03-21,,haploid,,CEES,,
8237,species,Thunnus thynnus,GCA_003231725.1,PRJNA432036,,,GBYP_Tthy_1.0,GCA_003231725.1,Scombriformes,Actinopteri,37.7,Scaffold,648'208'697,2'430,3'045,75'613,60'026,450'338,354'425,,0.43,,primary,,2018-06-15,not determined,haploid,,Alessia Cariani's shared submissions,,
8240,species,Thunnus maccoyii,GCA_025435535.1,,,,ASM2543553v1,GCA_025435535.1,Scombriformes,Actinopteri,NA,Scaffold,797'592'614,78'131,3'412'031,2'806,68,57'293,28'071,,,,primary,,2022-09-27,not determined,haploid,,BGI,,
8260,species,Platichthys flesus,GCA_029874915.1,,,,ASM2987491v1,GCA_029874915.1,Pleuronectiformes,Actinopteri,NA,Scaffold,566'685'445,4'608,4'769,33'280,32'137,342'363,337'425,,,,primary,,2023-04-26,not determined,haploid,,Faculty of Sciences from the University of Lisbon,,
8262,species,Pleuronectes platessa,GCA_902825255.1,,,,plePla_genome_ann,GCA_902825255.1,Pleuronectiformes,Actinopteri,NA,Scaffold,583'260'484,276'677,279'876,635,627,4'575,4'512,,,,primary,,2023-01-09,female,haploid,,Thuenen-Institute of Fisheries Ecology,,
8284,species,Squalius cephalus,GCA_029874105.1,,,,ASM2987410v1,GCA_029874105.1,Cypriniformes,Actinopteri,NA,Scaffold,885'927'358,1'835,1'915,117'376,111'964,1'144'267,1'131'934,,,,primary,,2023-04-26,not determined,haploid,,Faculty of Sciences from the University of Lisbon,,
8407,species,Rana temporaria,GCA_009802015.1,,,,UCB_Rtem_1.0,GCA_009802015.1,Anura,Amphibia,NA,Scaffold,4'282'724'626,2'889,49'315,219'854,22'402,1'319'014,398'602,,,,primary,,2019-12-27,not determined,haploid,,University of California, Berkeley,,
8439,species,Ascaphus truei,GCA_036426205.1,,,,UCB_Atru_1.0,GCA_036426205.1,Anura,Amphibia,NA,Chromosome,3'101'746'330,164'230,76'695'647,4'627,8,128'214,107'521,22,,,primary,,2024-02-07,male,haploid,,University of California, Berkeley,,
8467,species,Caretta caretta,GCA_965117115.1,,,,CarCar_QM_v1.21.12_Sc,GCA_965117115.1,Testudines,,NA,Chromosome,2'145'737'358,5'360'101,129'734'102,121,5,1'811,726,28,,,primary,,2025-01-24,female,haploid,,Queen Mary University of London,6.7;6.C,
8469,species,Chelonia mydas,GCA_000344595.1,,,GCF_000344595.1,CheMyd_1.0,GCA_000344595.1,Testudines,,NA,Scaffold,2'208'393'880,29'240,3'864'108,21'095,158,274'366,140'022,,,primary,primary,,2013-03-18,,haploid,,BGI,,
8496,species,Alligator mississippiensis,GCA_000281125.4,,,GCF_000281125.3,ASM28112v4,GCA_000281125.4,Crocodylia,,NA,Scaffold,2'161'713'562,16'665,18'600'682,37'733,34,243'734,7'093,,,primary,primary,,2016-03-28,,haploid,,International Crocodilian Genomes Working Group,,
8524,species,Zootoca vivipara,GCA_011800845.1,,,GCF_011800845.1,UG_Zviv_1,GCA_011800845.1,Squamata,Lepidosauria,NA,Chromosome,1'464'283'545,219'893,92'810'032,1'762,7,43'101,25'251,19,,primary,primary,,2020-04-01,female,haploid,,University of Glasgow,,
8790,species,Dromaius novaehollandiae,GCA_003342905.1,PRJNA433110,,GCF_003342905.1,droNov1,GCA_003342905.1,Casuariiformes,Aves,96.8,Scaffold,1'192'237'364,172'131,3'305'683,1'940,112,19'741,2'777,,0.99,primary,primary,,2018-07-26,male,haploid,,Harvard University,,
8795,species,Rhea pennata,GCA_003342835.1,PRJNA433110,GCA_003342835.1,,rhePen1,GCA_003342835.1,Rheiformes,Aves,96.7,Scaffold,1'168'291'008,68'142,3'903'569,5'090,87,35'690,3'019,,1.35,,primary,,2018-07-26,male,haploid,,Harvard University,,
8805,species,Eudromia elegans,GCA_003342815.1,PRJNA433110,,,eudEle1,GCA_003342815.1,Tinamiformes,Aves,96.4,Scaffold,955'514'612,126'242,3'261'870,2'183,82,18'800,2'364,,1.02,primary,primary,,2018-07-26,male,haploid,reference genome,Harvard University,,
8839,species,Anas platyrhynchos,GCA_030704485.1,,,,NAwild_v1.0,GCA_030704485.1,Anseriformes,Aves,NA,Chromosome,1'045'548'955,42'971,79'203'680,6'788,4,55'944,2'459,30,,,primary,,2023-08-14,male,haploid,,University of Texas at El paso,,
8843,species,Anser anser,GCA_049942455.1,,,,ASM4994245v1,GCA_049942455.1,Anseriformes,Aves,NA,Scaffold,1'148'012'556,42'433,42'432'072,7'289,6,148'059,97'949,,,,primary,,2025-04-26,not determined,haploid,,Iridian Genomes,,
8845,species,Anser cygnoides,GCA_002166845.1,PRJNA253976,,GCF_002166845.1,GooseV1.0,GCA_002166845.1,Anseriformes,Aves,94.8,Scaffold,1'130'276'682,35'039,5'027'881,8'873,71,64'862,1'801,,0,primary,primary,,2017-06-02,not determined,haploid,,Poultry Science Institute,,
8853,species,Branta canadensis,GCA_006130075.1,PRJNA524684,GCA_006130075.1,,GSC_cangoose_1.0,GCA_006130075.1,Anseriformes,Aves,97,Scaffold,1'153'386'549,220'846,15'516'710,1'343,21,29'793,14'961,,1.6300000000000000,primary,primary,,2019-06-05,not determined,haploid,reference genome,Canada's Genomic Enterprise,,
8905,species,Podargus strigoides,GCA_013399755.1,PRJNA545868,,,ASM1339975v1,GCA_013399755.1,Caprimulgiformes,Aves,86.4,Scaffold,1'138'406'061,80'636,176'118,3'567,1'502,177'027,158'535,,0.58,,primary,,2020-07-10,female,haploid,,B10K Consortium,,
8932,species,Columba livia,GCA_000337935.2,PRJNA167554,,,Cliv_2.1,GCA_000337935.2,Columbiformes,Aves,96.7,Scaffold,1'108'534'737,26'627,14'233'134,12'120,17,107'177,15'057,,1.87,,primary,,2017-12-13,male,haploid,,BGI,,
8954,species,Falco peregrinus,GCA_001887755.1,PRJNA347893,,,falPer2,GCA_001887755.1,Falconiformes,Aves,91.8,Chromosome,1'112'064'469,33'994,26'776'924,9'833,12,60'351,72,19,1.16,,primary,,2016-12-02,male,haploid,,Royal Veterinary College,,
8957,species,Astur gentilis,GCA_012487025.1,,,,Agentilis_1.0,GCA_012487025.1,Accipitriformes,Aves,NA,Scaffold,1'179'252'740,67'032,150'919,4'835,2'152,57'920,25'797,,,,primary,,2020-04-08,,haploid,,Environmental Genomics Office, Center for Enviromental Biology and Ecosystem Studies, National Institute for Environmental Studies,,
8969,species,Haliaeetus albicilla,GCA_013398555.1,,,,ASM1339855v1,GCA_013398555.1,Accipitriformes,Aves,NA,Scaffold,1'222'690'830,134'899,4'551'471,2'625,78,31'032,6'418,,,,primary,,2020-07-10,male,haploid,,B10K Consortium,,
9031,species,Gallus gallus,GCA_002798355.1,,,,Ogye1.0,GCA_002798355.1,Galliformes,Aves,NA,Chromosome,1'021'005'462,639'813,90'110'113,451,4,7'721,1'821,30,,,primary,,2017-12-05,female,haploid,,Hanyang University,,
9117,species,Grus americana,GCA_013390085.1,PRJNA545868,,,ASM1339008v1,GCA_013390085.1,Gruiformes,Aves,88.8,Scaffold,1'155'476'187,46'954,266'481,6'717,1'194,95'099,33'501,,1.08,,primary,,2020-07-06,female,haploid,,B10K Consortium,,
9209,species,Phalacrocorax carbo,GCA_000708925.1,PRJNA212903,,GCF_000708925.1,ASM70892v1,GCA_000708925.1,Suliformes,Aves,87.4,Scaffold,1'138'967'842,17'343,48'427,19'360,6'715,162'787,64'312,,0.7000000000000000,primary,primary,,2014-06-17,male,haploid,,BGI,,
9218,subspecies,Phoenicopterus ruber,GCA_000687265.1,PRJNA212904,,,ASM68726v1,GCA_000687265.1,Phoenicopteriformes,Aves,82.2,Scaffold,1'132'184'511,20'262,38'071,16'707,8'592,137'480,76'189,,0.39,,primary,,2014-05-08,male,haploid,,BGI,,
9226,species,Ara ararauna,GCA_010014805.2,,,,ASM1001480v2,GCA_010014805.2,Psittaciformes,Aves,NA,Scaffold,1'126'530'298,17'967,18'274,18'080,17'774,231'739,230'118,,,,primary,,2023-07-20,unknown,haploid,,IRIDIAN GENOMES,,
9240,species,Spheniscus humboldti,GCA_023170095.1,,,,Spheniscus_humboldti_v01,GCA_023170095.1,Sphenisciformes,Aves,NA,Scaffold,1'221'488'984,44'460,62'923,7'573,5'189,89'734,56'372,,,,primary,,2022-04-01,,haploid,,Center for Research and Education of Wildlife, Kyoto City Zoo,,
9258,species,Ornithorhynchus anatinus,GCA_000002275.2,PRJNA12885,,,ASM227v2,GCA_000002275.2,Monotremata,Mammalia,71.3,Chromosome,1'996'809'494,11'544,991'605,39'593,182,445'367,201'524,19,7.74,,primary,,2007-02-14,female,haploid,,Washington University (WashU),,
9261,species,Tachyglossus aculeatus,GCA_015598185.1,,,,mTacAcu1,GCA_015598185.1,Monotremata,Mammalia,NA,Chromosome,2'168'405'530,25'012,38'566'698,19'795,18,472'589,318'768,5,,,primary,,2020-11-19,male,haploid,,BGI,,
9301,species,Sminthopsis crassicaudata,GCA_048593235.1,,GCA_048593235.1,,ASM4859323v1,GCA_048593235.1,Dasyuromorphia,Mammalia,NA,Chromosome,3'239'981'553,4'359'487,656'909'261,185,3,1'890,7,7,,primary,primary,,2025-03-17,female,haploid,reference genome,University of Connecticut,6.7;6.C,
9305,species,Sarcophilus harrisii,GCA_007988765.1,,,,SarHar_Dovetail_2.0,GCA_007988765.1,Dasyuromorphia,Mammalia,NA,Scaffold,3'177'401'896,20'124,7'751'297,44'706,129,238'513,10'009,,,,primary,,2019-08-12,female,haploid,,Washington State University,,
9361,species,Dasypus novemcinctus,GCA_000208655.4,,,GCF_000208655.3,Dasnov3.2,GCA_000208655.4,Cingulata,Mammalia,NA,Scaffold,3'631'306'433,26'278,1'687'935,37'250,568,314'787,46'379,,,primary,primary,,2012-01-06,female,haploid,,Baylor College of Medicine,,
9365,species,Erinaceus europaeus,GCA_000296755.1,,GCA_000296755.1,GCF_000296755.1,EriEur2.0,GCA_000296755.1,Eulipotyphla,Mammalia,NA,Scaffold,2'715'703'478,21'359,3'264'618,31'120,249,225'566,5'802,,,primary,primary,,2012-09-19,,haploid,,Broad Institute,,
9407,species,Rousettus aegyptiacus,GCA_015472805.1,,,,rouAeg_1.0,GCA_015472805.1,Chiroptera,Mammalia,NA,Scaffold,1'898'981'941,120'632,37'187'087,4'253,17,55'003,4'947,,,,primary,,2020-10-30,,haploid,,Comparative Genomics Laboratory, Center for Information Biology, National Institute of Genetics,,
9430,species,Desmodus rotundus,GCA_002940915.3,,,GCF_002940915.2,ASM294091v3,GCA_002940915.3,Chiroptera,Mammalia,NA,Scaffold,2'063'523'408,80'278,26'869'735,6'949,26,83'363,29'117,,,primary,primary,,2018-02-23,male,haploid,,University of Copenhagen,,
9433,species,Miniopterus schreibersii,GCA_004026525.1,,GCA_004026525.1,,MinSch_v1_BIUU,GCA_004026525.1,Chiroptera,Mammalia,NA,Scaffold,1'775'846'775,82'539,108'707,6'368,4'781,184'538,177'620,,,,primary,,2019-01-16,missing,haploid,,Broad Institute,,
9438,species,Tadarida brasiliensis,GCA_004025005.1,,GCA_004025005.1,,TadBra_v1_BIUU,GCA_004025005.1,Chiroptera,Mammalia,NA,Scaffold,2'709'928'648,22'617,24'311,28'355,25'996,1'071'858,1'067'615,,,,primary,,2019-01-15,missing,haploid,,Broad Institute,,
9440,species,Antrozous pallidus,GCA_007922775.1,PRJNA399351,,,AntPal_v1_BIUU,GCA_007922775.1,Chiroptera,Mammalia,49.9,Scaffold,2'597'469'403,13'442,13'958,42'767,40'777,905'784,902'551,,0.01,,primary,,2019-08-08,missing,haploid,,Broad Institute,,
9447,species,Lemur catta,GCA_004024665.1,,GCA_004024665.1,,LemCat_v1_BIUU,GCA_004024665.1,Primates,Mammalia,NA,Scaffold,2'298'449'872,158'439,215'715,4'091,2'945,580'026,575'427,,,,primary,,2019-01-15,male,haploid,,Broad Institute,,
9470,species,Nycticebus coucang,GCA_963573995.1,,,,PGDP_NycCou,GCA_963573995.1,Primates,Mammalia,NA,Scaffold,2'566'797'054,10'276,10'277,72'599,72'592,416'288,415'864,,,,primary,,2023-10-31,missing,haploid,,IBE(CSIC-UNIVERSITAT POMPEU FABRA),,
9483,species,Callithrix jacchus,GCA_002754865.1,,GCA_002754865.1,,ASM275486v1,GCA_002754865.1,Primates,Mammalia,NA,Scaffold,2'845'375'248,155'284,129'239'660,5'014,9,88'439,39'944,,,,primary,,2017-11-06,female,haploid,,Broad Institute,,
9541,species,Macaca fascicularis,GCA_000364345.1,,GCA_000364345.1,GCF_000364345.1,Macaca_fascicularis_5.0,GCA_000364345.1,Primates,Mammalia,NA,Chromosome,2'946'827'162,86'040,88'649'475,9'296,14,87'763,7'624,21,,primary,primary,,2013-06-12,,haploid,,Washington University (WashU),,
9545,species,Macaca nemestrina,GCA_000956065.1,,,GCF_000956065.1,Mnem_1.0,GCA_000956065.1,Primates,Mammalia,NA,Scaffold,2'948'703'511,106'897,15'219'753,7'388,62,94'057,9'733,,,primary,primary,,2015-03-19,female,haploid,,Baylor College of Medicine,,
9590,species,Symphalangus syndactylus,GCA_028642525.1,,,,Symphalangus_syndactylus_HiC,GCA_028642525.1,Primates,Mammalia,NA,Chromosome,2'896'079'755,32'309,87'438'310,24'893,13,867'194,797'215,25,,,primary,,2023-02-16,female,haploid,,DNA Zoo,,
9595,subspecies,Gorilla gorilla,GCA_000151905.3,,,GCF_000151905.2,gorGor4,GCA_000151905.3,Primates,Mammalia,NA,Chromosome,3'063'346'382,52'934,81'227'029,15'780,15,170'104,40'729,24,,primary,primary,,2014-12-19,,haploid,,Wellcome Trust Sanger Institute,,
9597,species,Pan paniscus,GCA_000258655.2,,GCA_000258655.2,GCF_000258655.2,panpan1.1,GCA_000258655.2,Primates,Mammalia,NA,Chromosome,3'286'627'333,66'676,8'197'324,11'048,94,121'355,10'983,24,,primary,primary,,2015-08-18,,haploid,,Max-Planck Institute for Evolutionary Anthropology,,
9598,species,Pan troglodytes,GCA_000001515.5,PRJNA13184,,GCF_000001515.7,Pan_tro 3.0,GCA_000001515.5,Primates,Mammalia,91.5,Chromosome,3'231'154'112,384'816,26'972'556,2'195,38,72'225,45'510,25,3.0500000000000000,primary,primary,,2016-05-03,male,haploid,,Chimpanzee Sequencing and Analysis Consortium,,
9601,species,Pongo abelii,GCA_000001545.3,,,,P_pygmaeus_2.0.2,GCA_000001545.3,Primates,Mammalia,NA,Chromosome,3'437'863'358,15'652,747'367,55'233,1'056,408'185,79'309,24,,,primary,,2008-11-13,female,haploid-with-alt-loci,,Orangutan Genome Sequencing Consortium,,
9606,species,Homo sapiens,GCA_000306695.2,,,GCF_000306695.2,CHM1_1.1,GCA_000306695.2,Primates,Mammalia,NA,Chromosome,3'037'866'619,143'936,50'362'920,5'635,20,40'828,163,23,,primary,primary,,2013-06-14,,haploid,,Washington University School of Medicine,,
9612,species,XXXX,GCA_007922845.1,,,,UniMelb_Wolf_Refassem_1,GCA_007922845.1,Carnivora,Mammalia,NA,Scaffold,2'342'421'267,842,64'175'042,452'291,14,3'050'747,765,,,,primary,,2019-08-08,female,haploid,,The University of Melbourne,,
9615,subspecies,Canis lupus familiaris,GCA_012044875.1,,,,ASM1204487v1,GCA_012044875.1,Carnivora,Mammalia,NA,Chromosome,2'392'800'889,91'998,64'292'917,7'698,14,66'008,39,39,,,primary,,2020-04-06,male,haploid,,JHU/APL,,
9622,species,Lycaon pictus,GCA_004216515.1,PRJNA488046,,,sis1-161031-pseudohap,GCA_004216515.1,Carnivora,Mammalia,85,Scaffold,2'137'698'293,61'225,7'494'581,10'359,76,61'776,1'127,,1.52,,primary,,2019-02-20,female,haploid,,Stanford University,,
9627,species,Vulpes vulpes,GCA_003160815.1,,,GCF_003160815.1,VulVul2.2,GCA_003160815.1,Carnivora,Mammalia,NA,Scaffold,2'421'551'259,55'450,12'472'085,12'033,55,183'897,82'423,,,primary,primary,,2018-05-25,male,haploid,,University of Illinois at Urbana-Champaign,,
9690,species,Panthera onca,GCA_028533385.1,,,GCF_028533385.1,Panthera_onca_HiC,GCA_028533385.1,Carnivora,Mammalia,NA,Chromosome,2'498'323'642,51'083,132'627'732,14'196,8,466'954,410'583,19,,primary,primary,,2023-02-09,female,haploid,,DNA Zoo,,
9704,species,Zalophus californianus,GCA_900631625.1,,,GCF_900631625.1,zalCal2.2,GCA_900631625.1,Carnivora,Mammalia,NA,Scaffold,2'372'352'887,97'662,143'424'588,7'181,7,57'870,10'422,,,primary,primary,,2018-12-07,,haploid,,LMU,,
9711,species,Halichoerus grypus,GCA_012393455.1,,,GCF_012393455.1,Tufts_HGry_1.1,GCA_012393455.1,Carnivora,Mammalia,NA,Scaffold,2'338'243'510,1'011'981,1'033'864,652,637,6'997,6'880,,,primary,primary,,2020-04-16,male,haploid,,Cummings School of Veterinary Medicine at Tufts University,,
9725,species,Inia geoffrensis,GCA_004363515.1,PRJNA399465,GCA_004363515.1,,IniGeo_v1_BIUU,GCA_004363515.1,Artiodactyla,Mammalia,63.8,Scaffold,2'596'281'358,24'570,26'707,23'854,21'180,1'218'682,1'213'610,,0.02,,primary,,2019-03-22,male,haploid,,Broad Institute,,
9731,species,Globicephala melas,GCA_006547405.1,,,GCF_006547405.1,ASM654740v1,GCA_006547405.1,Artiodactyla,Mammalia,NA,Scaffold,2'333'854'592,332'801,18'102'937,2'096,42,21'235,6'636,,,primary,primary,,2019-07-03,male,haploid,,Canada's Genomic Enterprise,,
9733,species,Orcinus orca,GCA_000331955.2,PRJNA167475,,GCF_000331955.2,Oorc_1.1,GCA_000331955.2,Artiodactyla,Mammalia,91.5,Scaffold,2'372'903'489,70'300,12'735'091,9'480,60,80'099,1'667,,5.2,primary,primary,,2013-01-31,female,haploid,,Marine mammals,,
9739,species,Tursiops truncatus,GCA_001922835.1,PRJNA356464,GCA_001922835.1,GCF_001922835.1,NIST Tur_tru v1,GCA_001922835.1,Artiodactyla,Mammalia,81.1,Scaffold,2'132'499'883,44'302,26'555'543,13'811,21,116'650,2'647,,0.5700000000000000,primary,primary,,2016-12-28,female,haploid,,National Institute of Standards and Technology,,
9742,species,Phocoena phocoena,GCA_004363495.1,PRJNA399454,GCA_004363495.1,,PhoPho_v1_BIUU,GCA_004363495.1,Artiodactyla,Mammalia,82,Scaffold,2'701'010'810,89'111,115'969,8'515,6'441,1'338'272,1'331'158,,0.03,,primary,,2019-03-22,missing,haploid,,Broad Institute,,
9764,species,Eschrichtius robustus,GCA_004363415.1,PRJNA399463,GCA_004363415.1,,EscRob_v1_BIUU,GCA_004363415.1,Artiodactyla,Mammalia,81,Scaffold,2'617'572'198,68'559,94'414,10'748,7'799,1'046'770,1'036'148,,0.04,,primary,,2019-03-22,male,haploid,,Broad Institute,,
9770,species,Balaenoptera physalus,GCA_023338255.1,,,,SBiKF_Bphy_ph2,GCA_023338255.1,Artiodactyla,Mammalia,NA,Scaffold,2'410'646'746,146'061,24'939'677,4'659,27,44'036,13'140,,,primary,primary,,2022-05-11,not collected,haploid,reference genome,Senckenberg BiK-F,,
9773,species,Megaptera novaeangliae,GCA_004329385.1,,,,megNov1,GCA_004329385.1,Artiodactyla,Mammalia,NA,Scaffold,2'265'788'366,12'321,9'138'802,52'145,79,387'694,2'558,,,,primary,,2019-03-06,female,haploid,,Arizona Cancer Evolution Center (ACE),,
9785,species,Loxodonta africana,GCA_000001905.1,,GCA_000001905.1,GCF_000001905.1,Loxafr3.0,GCA_000001905.1,Proboscidea,Mammalia,NA,Scaffold,3'196'738'035,69'023,46'401'353,13'607,21,95'866,2'352,1,,primary,primary,,2009-07-15,female,haploid,,Broad Institute,,
9796,species,Equus caballus,GCA_000696655.1,,,,Ajinai1.0,GCA_000696655.1,Perissodactyla,Mammalia,NA,Scaffold,2'377'506'909,40'738,56'256,16'258,11'603,155'158,119'776,,,,primary,,2014-06-06,male,haploid,,College of Animal Science, Inner Mongolian Agricultural University, China,,
9802,species,Tapirus indicus,GCA_004024905.1,,GCA_004024905.1,,TapInd_v1_BIUU,GCA_004024905.1,Perissodactyla,Mammalia,NA,Scaffold,2'425'203'111,225'792,308'930,3'061,2'188,284'468,280'135,,,,primary,,2019-01-15,missing,haploid,,Broad Institute,,
9823,species,Sus scrofa,GCA_046128825.1,,,,ICAR-NRCP-G1,GCA_046128825.1,Artiodactyla,Mammalia,NA,Chromosome,2'550'807'703,11'062,143'437'317,63'426,8,386'440,25'393,19,,,primary,,2024-12-18,female,haploid,,ICAR National Research Centre on Pig,,
9838,species,Camelus dromedarius,GCA_000803125.3,,,GCF_000803125.2,CamDro3,GCA_000803125.3,Artiodactyla,Mammalia,NA,Chromosome,2'169'346'739,236'391,70'369'702,2'637,11,53'084,21'069,37,,primary,primary,,2019-10-07,female,haploid,,Vetmeduni Vienna,,
9886,species,Muntiacus reevesi,GCA_008787405.2,,,,UCB_Mree_1.1,GCA_008787405.2,Artiodactyla,Mammalia,NA,Chromosome,2'579'575'442,225'142,94'101'870,3'207,7,53'090,29'705,23,,,primary,,2019-10-07,male,haploid,,University of California, Berkeley,,
9925,species,Capra hircus,GCA_000317765.2,,,,CHIR_2.0,GCA_000317765.2,Artiodactyla,Mammalia,NA,Chromosome,2'809'418'462,73'533,9'094'169,10'961,89,173'141,103'494,30,,,primary,,2015-09-16,female,haploid,,Beijing Genomics Institute,,
9940,species,Ovis aries,GCA_000298735.2,,GCA_000298735.2,GCF_000298735.2,Oar_v4.0,GCA_000298735.2,Artiodactyla,Mammalia,NA,Chromosome,2'615'499'683,150'472,100'009'711,5'008,8,48'481,5'465,27,,primary,primary,,2015-11-20,,haploid,,International Sheep Genome Consortium,,
9978,species,Ochotona princeps,GCA_014633375.1,,,GCF_014633375.1,OchPri4.0,GCA_014633375.1,Lagomorpha,Mammalia,NA,Chromosome,2'231'476'247,42'119,75'838'078,12'529,11,134'291,9'350,34,,primary,primary,,2020-09-21,male,haploid,,University of British Columbia Okanagan,,
