sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
GCA_015159515.1_ASM1515951v1_genomic.hist	histogram	assembly	NA	2809313002	0.86	36.70	NA	-1
GCA_024678985.1_NCU_BettaSRF_v1.0_genomic.hist	histogram	assembly	NA	448872863	0.82	512.58	NA	-1
GCA_048287495.1_ASM4828749v1_genomic.hist	histogram	assembly	NA	3758510044	0.00	36.98	NA	-1
GCA_004024565.1_ZalCal_v1_BIUU_genomic.hist	histogram	assembly	NA	2501364987	0.85	92.59	NA	-1
GCA_005870125.1_lonStrDom2_genomic.hist	histogram	assembly	NA	1027813272	0.96	43.40	NA	-1
GCA_027122255.1_ASM2712225v1_genomic.hist	histogram	assembly	NA	1151308519	0.99	2.52	NA	-1
GCA_015155735.1_ASM1515573v1_genomic.hist	histogram	assembly	NA	2821143131	0.85	36.76	NA	-1
GCA_024679375.1_ASM2467937v1_genomic.hist	histogram	assembly	NA	1049205994	0.90	17.15	NA	-1
GCA_017639305.1_CAU_Laying_1.0_genomic.hist	histogram	assembly	NA	1210567000	0.87	78.16	NA	-1
GCA_015147135.1_ASM1514713v1_genomic.hist	histogram	assembly	NA	2808637956	0.86	36.29	NA	-1
GCA_015075825.1_ASM1507582v1_genomic.hist	histogram	assembly	NA	2826383051	0.86	36.26	NA	-1
GCA_045783075.1_ASM4578307v1_genomic.hist	histogram	assembly	NA	1022021096	0.97	17.91	NA	-1
GCA_002022975.1_10x.supernova.msNA19240_genomic.hist	histogram	assembly	NA	5567016567	0.03	35.35	NA	-1
GCA_028654425.1_ASM2865442v1_genomic.hist	histogram	assembly	NA	1176625947	0.89	23.83	NA	-1
GCA_025504755.1_ASM2550475v1_genomic.hist	histogram	assembly	NA	1183524266	0.98	4.82	NA	-1
GCA_039654815.1_ASM3965481v1_genomic.hist	histogram	assembly	NA	2519811667	0.84	51.03	NA	-1
GCA_943590865.1_fNotRos1_genomic.hist	histogram	assembly	NA	839219829	0.68	147.58	NA	-1
GCA_015074505.1_ASM1507450v1_genomic.hist	histogram	assembly	NA	2812585822	0.86	36.47	NA	-1
GCA_015129335.1_ASM1512933v1_genomic.hist	histogram	assembly	NA	2829621171	0.86	36.40	NA	-1
GCA_024652995.1_ASM2465299v1_genomic.hist	histogram	assembly	NA	1035593474	0.94	33.76	NA	-1
GCA_015121975.1_ASM1512197v1_genomic.hist	histogram	assembly	NA	2825229052	0.85	36.45	NA	-1
GCA_022059245.1_ASM2205924v1_genomic.hist	histogram	assembly	NA	1363225718	0.68	218.64	NA	-1
GCA_015121905.1_ASM1512190v1_genomic.hist	histogram	assembly	NA	2834619012	0.86	36.54	NA	-1
GCA_011634725.1_ASM1163472v1_genomic.hist	histogram	assembly	NA	2098590057	0.95	46.13	NA	-1
GCA_015155765.1_ASM1515576v1_genomic.hist	histogram	assembly	NA	2812574598	0.86	36.53	NA	-1
GCA_921997125.2_C3H_HeJ_v3_genomic.hist	histogram	assembly	NA	2508173857	0.85	167.58	NA	-1
GCA_023338255.1_SBiKF_Bphy_ph2_genomic.hist	histogram	assembly	NA	2368344926	0.87	33.79	NA	-1
GCA_015121625.1_ASM1512162v1_genomic.hist	histogram	assembly	NA	2821690286	0.86	36.61	NA	-1
GCA_029875115.1_ASM2987511v1_genomic.hist	histogram	assembly	NA	832436163	0.83	128.66	NA	-1
GCA_004026625.1_PipPip_v1_BIUU_genomic.hist	histogram	assembly	NA	2066738608	0.75	217.94	NA	-1
GCA_000280705.1_JacJac1.0_genomic.hist	histogram	assembly	NA	2460129951	0.88	65.20	NA	-1
GCA_037504845.1_fPhoPho.hap2_genomic.hist	histogram	assembly	NA	929034825	0.68	298.39	NA	-1
GCA_024679765.1_ASM2467976v1_genomic.hist	histogram	assembly	NA	1032732854	0.91	17.45	NA	-1
GCA_000389885.1_MSM_WGSv1_genomic.hist	histogram	assembly	NA	1155163225	0.98	55.48	NA	-1
GCA_000185105.2_MmusALLPATHS2_genomic.hist	histogram	assembly	NA	2273310948	0.92	168.57	NA	-1
GCA_014570555.1_YNU_ManPten_2.0_genomic.hist	histogram	assembly	NA	2291219306	0.88	17.62	NA	-1
GCA_004024865.1_RouAeg_v1_BIUU_genomic.hist	histogram	assembly	NA	1964916151	0.92	79.84	NA	-1
GCA_022956915.1_ASM2295691v1_genomic.hist	histogram	assembly	NA	904453472	0.84	148.92	NA	-1
GCA_029233295.1_ASM2923329v1_genomic.hist	histogram	assembly	NA	2524290269	0.85	168.73	NA	-1
GCA_003671635.1_VN_pangasius_genomic.hist	histogram	assembly	NA	695807548	0.93	156.88	NA	-1
GCA_015076085.1_ASM1507608v1_genomic.hist	histogram	assembly	NA	2807552937	0.86	36.50	NA	-1
GCA_040939265.1_TAMU_N210636_genomic.hist	histogram	assembly	NA	2313715553	0.92	87.34	NA	-1
GCA_001700255.1_Pietrain_pig_v1_genomic.hist	histogram	assembly	NA	2409152769	0.87	39.21	NA	-1
GCA_029874105.1_ASM2987410v1_genomic.hist	histogram	assembly	NA	850464963	0.82	143.32	NA	-1
GCA_015076105.1_ASM1507610v1_genomic.hist	histogram	assembly	NA	2821230240	0.86	36.47	NA	-1
GCA_015075045.1_ASM1507504v1_genomic.hist	histogram	assembly	NA	2813616356	0.86	36.49	NA	-1
GCA_020004445.1_ASM2000444v1_genomic.hist	histogram	assembly	NA	3160505879	0.75	31.54	NA	-1
GCA_048301445.1_SynTyp1_v1.hap1_genomic.hist	histogram	assembly	NA	368285539	0.73	355.60	NA	-1
GCA_046619145.1_CA_2_hap2_genomic.hist	histogram	assembly	NA	1172161483	0.85	40.84	NA	-1
GCA_029619115.1_ASM2961911v1_genomic.hist	histogram	assembly	NA	1075394010	0.93	37.41	NA	-1
GCA_002844635.1_USMARCv1.0_genomic.hist	histogram	assembly	NA	2622685698	0.80	36.46	NA	-1
GCA_015121425.1_ASM1512142v1_genomic.hist	histogram	assembly	NA	2844616784	0.85	36.43	NA	-1
GCA_045787465.1_ASM4578746v1_genomic.hist	histogram	assembly	NA	1197965905	0.95	7.76	NA	-1
