sample	input_type	sequence_type	coverage	genome_length	uniqueness_ratio	HCRM	sequencing_error_rate	average_read_length
GCF_903995435.1.hist	histogram	assembly	NA	2292299364	0.89	95.90	NA	-1
GCA_951804945.1.hist	histogram	assembly	NA	1507614715	0.78	75.63	NA	-1
GCA_030440675.1.hist	histogram	assembly	NA	1609765422	0.79	215.36	NA	-1
GCF_028885625.2.hist	histogram	assembly	NA	3212950532	0.77	28.11	NA	-1
GCA_027917425.1.hist	histogram	assembly	NA	4335620640	0.48	127.60	NA	-1
GCA_964106855.1.hist	histogram	assembly	NA	1352123544	0.84	105.24	NA	-1
GCA_041753875.1.hist	histogram	assembly	NA	714974938	0.91	197.04	NA	-1
GCF_028372415.1.hist	histogram	assembly	NA	3440890601	0.86	136.94	NA	-1
GCA_964195595.2.hist	histogram	assembly	NA	1366073588	0.86	21.69	NA	-1
GCA_965226575.1.hist	histogram	assembly	NA	825558547	0.82	224.03	NA	-1
GCA_026652325.1.hist	histogram	assembly	NA	20297545768	0.57	43.18	NA	-1
GCA_963924665.1.hist	histogram	assembly	NA	2651290450	0.75	261.04	NA	-1
GCF_901000725.2.hist	histogram	assembly	NA	380422233	0.81	187.08	NA	-1
GCA_021292165.1.hist	histogram	assembly	NA	2189837729	0.68	52.66	NA	-1
GCA_041735815.1.hist	histogram	assembly	NA	2863922745	0.75	93.18	NA	-1
GCA_903797595.2.hist	histogram	assembly	NA	1086387504	0.91	50.12	NA	-1
GCA_949987615.1.hist	histogram	assembly	NA	604663295	0.80	436.53	NA	-1
GCA_964035555.1.hist	histogram	assembly	NA	1166810172	0.91	72.68	NA	-1
GCF_040954835.1.hist	histogram	assembly	NA	1200543517	0.71	219.12	NA	-1
GCF_011100635.1.hist	histogram	assembly	NA	3340591004	0.87	100.45	NA	-1
GCF_027579695.1.hist	histogram	assembly	NA	2328028726	0.44	158.71	NA	-1
GCF_036417845.1.hist	histogram	assembly	NA	1504344819	0.80	71.61	NA	-1
GCF_900963305.1.hist	histogram	assembly	NA	543624549	0.92	73.80	NA	-1
GCA_963921795.1.hist	histogram	assembly	NA	1645914599	0.56	274.78	NA	-1
GCA_964106895.1.hist	histogram	assembly	NA	1348641213	0.83	55.34	NA	-1
GCA_031468815.1.hist	histogram	assembly	NA	1294734656	0.89	29.81	NA	-1
GCA_965183815.1.hist	histogram	assembly	NA	1345661343	0.87	43.20	NA	-1
GCA_024294585.1.hist	histogram	assembly	NA	1627996496	0.72	297.80	NA	-1
GCA_036873955.1.hist	histogram	assembly	NA	1245707366	0.85	228.83	NA	-1
GCF_027409185.1.hist	histogram	assembly	NA	2814378240	0.81	70.92	NA	-1
GCF_027595985.1.hist	histogram	assembly	NA	2393004824	0.83	233.68	NA	-1
GCF_035770615.1.hist	histogram	assembly	NA	1540146534	0.67	124.08	NA	-1
GCF_013368605.1.hist	histogram	assembly	NA	1250241344	0.90	13.17	NA	-1
GCF_030014385.1.hist	histogram	assembly	NA	1044969875	0.64	245.66	NA	-1
GCF_009764565.3.hist	histogram	assembly	NA	2159146238	0.84	78.65	NA	-1
GCA_951394365.1.hist	histogram	assembly	NA	1012950699	0.94	42.37	NA	-1
GCF_028858725.1.hist	histogram	assembly	NA	1206623881	0.88	36.33	NA	-1
GCA_031878675.1.hist	histogram	assembly	NA	2025437987	0.78	218.82	NA	-1
GCA_964273445.1.hist	histogram	assembly	NA	1290723998	0.82	298.03	NA	-1
GCA_009914755.4.hist	histogram	assembly	NA	3117291320	0.78	75.63	NA	-1
GCF_026419915.1.hist	histogram	assembly	NA	1348775757	0.87	102.09	NA	-1
GCA_043290085.1.hist	histogram	assembly	NA	5620179869	0.59	69.38	NA	-1
GCF_027789765.1.hist	histogram	assembly	NA	2207732173	0.61	159.96	NA	-1
GCF_009762535.1.hist	histogram	assembly	NA	832427612	0.82	289.04	NA	-1
GCA_963457725.1.hist	histogram	assembly	NA	831976925	0.73	266.83	NA	-1
GCF_900634415.1.hist	histogram	assembly	NA	606361017	0.85	353.02	NA	-1
GCF_902500255.1.hist	histogram	assembly	NA	2432246477	0.49	88.57	NA	-1
GCA_046126795.1.hist	histogram	assembly	NA	2282648760	0.68	117.39	NA	-1
GCA_047922985.1.hist	histogram	assembly	NA	1109626533	0.85	179.43	NA	-1
GCF_902655055.1.hist	histogram	assembly	NA	2438361737	0.88	45.93	NA	-1
GCA_964656225.1.hist	histogram	assembly	NA	1915768965	0.82	146.55	NA	-1
GCF_015227805.1.hist	histogram	assembly	NA	1080369569	0.93	44.00	NA	-1
GCA_037962945.1.hist	histogram	assembly	NA	1543911590	0.76	557.61	NA	-1
GCA_963932225.1.hist	histogram	assembly	NA	1324122005	0.87	105.02	NA	-1
GCF_950005125.1.hist	histogram	assembly	NA	2393340511	0.84	95.70	NA	-1
GCA_037306005.1.hist	histogram	assembly	NA	4743586259	0.63	73.16	NA	-1
GCA_964188305.1.hist	histogram	assembly	NA	1614960447	0.72	126.29	NA	-1
GCA_965119305.1.hist	histogram	assembly	NA	5806618088	0.53	80.30	NA	-1
GCA_048593235.1.hist	histogram	assembly	NA	3238533941	0.83	181.55	NA	-1
GCA_964194185.1.hist	histogram	assembly	NA	2170932740	0.88	105.41	NA	-1
GCA_044231665.1.hist	histogram	assembly	NA	470074948	0.93	93.26	NA	-1
GCA_964194135.1.hist	histogram	assembly	NA	2060744177	0.84	33.68	NA	-1
GCA_011004875.1.hist	histogram	assembly	NA	1216248275	0.95	11.49	NA	-1
GCF_028390025.1.hist	histogram	assembly	NA	8849311894	0.33	52.46	NA	-1
GCA_964034855.1.hist	histogram	assembly	NA	1287054759	0.84	400.60	NA	-1
GCA_020745705.1.hist	histogram	assembly	NA	1154627676	0.94	24.19	NA	-1
GCA_036784965.1.hist	histogram	assembly	NA	2121646592	0.50	118.47	NA	-1
GCA_020510985.1.hist	histogram	assembly	NA	5979340044	0.37	57.07	NA	-1
GCA_964197995.1.hist	histogram	assembly	NA	1228161602	0.57	287.94	NA	-1
GCA_029215775.1.hist	histogram	assembly	NA	1890500831	0.79	55.98	NA	-1
GCA_963924565.1.hist	histogram	assembly	NA	308483561	0.76	22.97	NA	-1
GCF_040807025.1.hist	histogram	assembly	NA	1451984389	0.80	42.24	NA	-1
GCF_900880675.1.hist	histogram	assembly	NA	833216043	0.84	147.83	NA	-1
GCA_903992545.1.hist	histogram	assembly	NA	1762913796	0.89	122.87	NA	-1
GCF_900700375.1.hist	histogram	assembly	NA	562724947	0.75	96.75	NA	-1
GCA_040954625.2.hist	histogram	assembly	NA	329662358	0.66	137.85	NA	-1
GCA_964289735.1.hist	histogram	assembly	NA	1320716163	0.86	76.08	NA	-1
GCF_902150065.1.hist	histogram	assembly	NA	833378642	0.87	308.29	NA	-1
GCF_028500815.1.hist	histogram	assembly	NA	1352804758	0.85	205.55	NA	-1
GCF_009769535.1.hist	histogram	assembly	NA	1633948112	0.74	168.45	NA	-1
GCA_964059595.1.hist	histogram	assembly	NA	1190818412	0.89	100.73	NA	-1
GCA_030412105.1.hist	histogram	assembly	NA	1982547508	0.88	22.85	NA	-1
GCA_028020825.1.hist	histogram	assembly	NA	1268936941	0.84	391.46	NA	-1
GCA_963422515.1.hist	histogram	assembly	NA	725722688	0.80	277.02	NA	-1
GCA_031216445.1.hist	histogram	assembly	NA	632507195	0.90	133.64	NA	-1
GCA_963082525.1.hist	histogram	assembly	NA	1183150590	0.91	39.91	NA	-1
GCA_048126345.1.hist	histogram	assembly	NA	3844484325	0.77	86.20	NA	-1
GCA_009819595.1.hist	histogram	assembly	NA	1143289800	0.93	12.51	NA	-1
GCF_030435755.1.hist	histogram	assembly	NA	2555169421	0.74	248.01	NA	-1
GCA_964374135.1.hist	histogram	assembly	NA	2666785808	0.76	77.57	NA	-1
GCF_029289425.2.hist	histogram	assembly	NA	3239869161	0.75	109.43	NA	-1
GCA_907165065.1.hist	histogram	assembly	NA	1177757157	0.94	24.00	NA	-1
GCF_015220235.1.hist	histogram	assembly	NA	3133668571	0.79	19.18	NA	-1
GCF_032444005.1.hist	histogram	assembly	NA	5953256620	0.36	127.74	NA	-1
GCA_038363095.2.hist	histogram	assembly	NA	2311594178	0.82	29.52	NA	-1
GCA_039720435.1.hist	histogram	assembly	NA	1361823828	0.78	316.74	NA	-1
GCA_014706295.1.hist	histogram	assembly	NA	1101913043	0.93	18.43	NA	-1
GCF_024166365.1.hist	histogram	assembly	NA	3397907767	0.75	19.85	NA	-1
GCF_027887165.1.hist	histogram	assembly	NA	3553414450	0.82	200.97	NA	-1
GCF_020740685.1.hist	histogram	assembly	NA	2850140851	0.81	117.03	NA	-1
GCF_949987535.1.hist	histogram	assembly	NA	2772573428	0.74	63.55	NA	-1
GCF_963584025.1.hist	histogram	assembly	NA	739653724	0.81	252.83	NA	-1
GCF_030028105.1.hist	histogram	assembly	NA	3983586850	0.63	30.26	NA	-1
GCF_947179515.1.hist	histogram	assembly	NA	2889510805	0.76	175.72	NA	-1
GCA_964263255.1.hist	histogram	assembly	NA	24198935470	0.50	39.36	NA	-1
GCF_027409825.1.hist	histogram	assembly	NA	827926253	0.81	653.60	NA	-1
GCA_035046505.1.hist	histogram	assembly	NA	1623236252	0.80	76.68	NA	-1
GCA_964188315.1.hist	histogram	assembly	NA	1522445610	0.77	106.77	NA	-1
GCA_003287225.2.hist	histogram	assembly	NA	3192507684	0.89	150.20	NA	-1
GCF_004027225.2.hist	histogram	assembly	NA	1138039735	0.94	18.34	NA	-1
GCF_037993035.1.hist	histogram	assembly	NA	3042913745	0.80	88.55	NA	-1
GCA_951802725.1.hist	histogram	assembly	NA	1100084770	0.63	310.83	NA	-1
GCA_965140295.1.hist	histogram	assembly	NA	2206194250	0.82	34.44	NA	-1
GCA_951394435.1.hist	histogram	assembly	NA	2691175866	0.75	95.06	NA	-1
GCA_964198595.1.hist	histogram	assembly	NA	1042017429	0.67	45.10	NA	-1
GCA_964194415.1.hist	histogram	assembly	NA	1693879526	0.68	341.95	NA	-1
GCA_038024135.1.hist	histogram	assembly	NA	928549347	0.64	449.37	NA	-1
GCF_023343835.1.hist	histogram	assembly	NA	1026688623	0.94	56.72	NA	-1
GCA_936440315.1.hist	histogram	assembly	NA	1584670039	0.65	154.97	NA	-1
GCA_965226115.1.hist	histogram	assembly	NA	945377104	0.71	158.09	NA	-1
GCA_031878705.1.hist	histogram	assembly	NA	2477418479	0.89	27.41	NA	-1
GCF_950295315.1.hist	histogram	assembly	NA	2719783811	0.71	114.57	NA	-1
GCF_017639655.2.hist	histogram	assembly	NA	1211624704	0.95	33.35	NA	-1
GCF_963924245.1.hist	histogram	assembly	NA	1417426207	0.81	176.17	NA	-1
GCA_951216825.1.hist	histogram	assembly	NA	1416736735	0.54	329.28	NA	-1
GCA_043728065.1.hist	histogram	assembly	NA	2291571989	0.84	429.46	NA	-1
GCF_009819535.1.hist	histogram	assembly	NA	1387900851	0.83	116.97	NA	-1
GCA_045363895.1.hist	histogram	assembly	NA	1147274731	0.85	175.71	NA	-1
GCA_949319135.1.hist	histogram	assembly	NA	1101792102	0.63	355.97	NA	-1
GCA_005190385.3.hist	histogram	assembly	NA	2341910888	0.87	42.54	NA	-1
GCF_902686445.1.hist	histogram	assembly	NA	2814715457	0.83	39.30	NA	-1
GCA_036971685.2.hist	histogram	assembly	NA	1194107871	0.82	123.28	NA	-1
GCA_963924005.1.hist	histogram	assembly	NA	1141905952	0.62	305.62	NA	-1
GCF_900964775.1.hist	histogram	assembly	NA	784515144	0.88	130.76	NA	-1
GCF_004115265.2.hist	histogram	assembly	NA	2068213759	0.93	65.72	NA	-1
GCA_901001165.2.hist	histogram	assembly	NA	2294781928	0.55	144.05	NA	-1
GCA_965194825.1.hist	histogram	assembly	NA	3442127861	0.60	96.15	NA	-1
GCF_009764475.1.hist	histogram	assembly	NA	2247252011	0.83	42.95	NA	-1
GCA_043880595.1.hist	histogram	assembly	NA	2080227758	0.88	84.91	NA	-1
GCA_048126745.1.hist	histogram	assembly	NA	2723267212	0.79	54.95	NA	-1
GCF_914725855.1.hist	histogram	assembly	NA	792073891	0.89	138.74	NA	-1
GCA_040939525.1.hist	histogram	assembly	NA	40289876398	0.52	22.22	NA	-1
GCF_015220805.1.hist	histogram	assembly	NA	1266309441	0.81	64.01	NA	-1
GCA_028451465.1.hist	histogram	assembly	NA	2432067200	0.88	41.98	NA	-1
GCA_949357685.1.hist	histogram	assembly	NA	1455649859	0.55	250.46	NA	-1
GCA_963514005.1.hist	histogram	assembly	NA	2699896393	0.62	239.55	NA	-1
GCA_963993115.1.hist	histogram	assembly	NA	1108054502	0.63	256.76	NA	-1
GCA_045345515.1.hist	histogram	assembly	NA	1576570189	0.74	185.36	NA	-1
GCA_026018925.1.hist	histogram	assembly	NA	2948106822	0.79	103.87	NA	-1
GCA_031885435.1.hist	histogram	assembly	NA	1268116761	0.82	92.79	NA	-1
GCF_937001465.1.hist	histogram	assembly	NA	2647309901	0.77	56.94	NA	-1
GCA_964656455.1.hist	histogram	assembly	NA	2399813647	0.87	38.17	NA	-1
GCF_963082965.1.hist	histogram	assembly	NA	1682931185	0.67	206.32	NA	-1
GCA_020746105.1.hist	histogram	assembly	NA	1155465710	0.93	14.78	NA	-1
GCA_013358685.1.hist	histogram	assembly	NA	549031469	0.87	305.94	NA	-1
GCA_036417535.1.hist	histogram	assembly	NA	1273900449	0.87	74.71	NA	-1
GCA_030867145.1.hist	histogram	assembly	NA	1482385808	0.78	318.12	NA	-1
GCF_905171775.1.hist	histogram	assembly	NA	4081790644	0.55	65.14	NA	-1
GCF_019393635.1.hist	histogram	assembly	NA	3300261601	0.86	167.15	NA	-1
GCA_963280865.1.hist	histogram	assembly	NA	1352938264	0.63	297.99	NA	-1
GCA_038048845.1.hist	histogram	assembly	NA	2964298288	0.65	244.95	NA	-1
GCA_965231275.1.hist	histogram	assembly	NA	1143338149	0.90	61.00	NA	-1
GCA_963989245.1.hist	histogram	assembly	NA	1081981615	0.50	174.86	NA	-1
GCA_949987585.1.hist	histogram	assembly	NA	1895081548	0.84	148.44	NA	-1
GCF_042477335.2.hist	histogram	assembly	NA	2974281883	0.72	190.08	NA	-1
GCF_029582105.1.hist	histogram	assembly	NA	1036163525	0.94	49.80	NA	-1
GCA_964146895.2.hist	histogram	assembly	NA	1850552554	0.89	149.71	NA	-1
GCF_963506605.1.hist	histogram	assembly	NA	1440080856	0.80	153.58	NA	-1
GCF_030020395.1.hist	histogram	assembly	NA	2833570239	0.72	27.58	NA	-1
GCA_960531495.1.hist	histogram	assembly	NA	801095312	0.80	410.46	NA	-1
GCA_947561715.1.hist	histogram	assembly	NA	196964929	0.69	128.90	NA	-1
GCA_037157525.1.hist	histogram	assembly	NA	2478659837	0.79	52.88	NA	-1
GCF_028018385.1.hist	histogram	assembly	NA	2466974821	0.88	82.31	NA	-1
GCF_964237555.1.hist	histogram	assembly	NA	2804127309	0.79	55.19	NA	-1
GCA_036417435.1.hist	histogram	assembly	NA	2749270495	0.75	58.10	NA	-1
GCA_043728145.1.hist	histogram	assembly	NA	2232244250	0.84	96.02	NA	-1
GCA_048771995.1.hist	histogram	assembly	NA	1140848339	0.89	96.43	NA	-1
GCA_951799975.1.hist	histogram	assembly	NA	870416906	0.73	60.68	NA	-1
GCF_009873245.2.hist	histogram	assembly	NA	2348902369	0.87	33.86	NA	-1
GCF_949774975.1.hist	histogram	assembly	NA	2544577395	0.80	66.32	NA	-1
GCA_964261635.1.hist	histogram	assembly	NA	23163266167	0.50	25.14	NA	-1
GCA_964271855.1.hist	histogram	assembly	NA	2348493871	0.87	108.75	NA	-1
GCF_030936135.1.hist	histogram	assembly	NA	1321177350	0.87	149.77	NA	-1
GCF_030445035.2.hist	histogram	assembly	NA	3598761786	0.75	14.61	NA	-1
GCA_949357725.1.hist	histogram	assembly	NA	794267907	0.70	409.52	NA	-1
GCF_028023285.1.hist	histogram	assembly	NA	2675787929	0.77	35.27	NA	-1
GCF_037157495.1.hist	histogram	assembly	NA	1238777070	0.85	33.65	NA	-1
GCA_045362495.1.hist	histogram	assembly	NA	1133160902	0.85	115.91	NA	-1
GCA_901699155.2.hist	histogram	assembly	NA	1174898748	0.87	8.16	NA	-1
GCA_023333525.2.hist	histogram	assembly	NA	1673095886	0.81	142.76	NA	-1
GCF_026419965.1.hist	histogram	assembly	NA	2551035757	0.79	57.41	NA	-1
GCF_003957555.1.hist	histogram	assembly	NA	1043572880	0.95	26.79	NA	-1
GCF_009819885.2.hist	histogram	assembly	NA	1118695165	0.90	36.83	NA	-1
GCF_009829145.1.hist	histogram	assembly	NA	1086319117	0.96	9.27	NA	-1
GCA_949987685.1.hist	histogram	assembly	NA	770388918	0.72	503.61	NA	-1
GCA_964199755.1.hist	histogram	assembly	NA	1405447958	0.82	106.63	NA	-1
GCF_020740795.1.hist	histogram	assembly	NA	1098619758	0.95	33.94	NA	-1
GCA_965194805.1.hist	histogram	assembly	NA	3234225164	0.64	126.41	NA	-1
GCA_037893015.1.hist	histogram	assembly	NA	3642881862	0.81	146.90	NA	-1
GCA_964188355.1.hist	histogram	assembly	NA	1303576271	0.89	61.10	NA	-1
GCA_964237585.1.hist	histogram	assembly	NA	1282248303	0.85	186.62	NA	-1
GCF_016700215.2.hist	histogram	assembly	NA	1045994378	0.93	50.40	NA	-1
GCA_963383645.1.hist	histogram	assembly	NA	2496365581	0.81	166.75	NA	-1
GCF_901709675.1.hist	histogram	assembly	NA	324313633	0.85	154.89	NA	-1
GCA_035083965.1.hist	histogram	assembly	NA	458267906	0.80	79.14	NA	-1
GCF_963692335.1.hist	histogram	assembly	NA	508124802	0.74	403.79	NA	-1
GCF_922984935.1.hist	histogram	assembly	NA	2738651476	0.79	45.66	NA	-1
GCF_044704955.1.hist	histogram	assembly	NA	5921563731	0.44	92.08	NA	-1
GCF_009650955.1.hist	histogram	assembly	NA	1083852079	0.95	25.62	NA	-1
GCA_009769525.1.hist	histogram	assembly	NA	1123109270	0.95	11.18	NA	-1
GCA_026229955.1.hist	histogram	assembly	NA	2845621014	0.76	137.98	NA	-1
GCA_030020295.1.hist	histogram	assembly	NA	2327422208	0.85	27.02	NA	-1
GCA_048128725.1.hist	histogram	assembly	NA	1079345780	0.88	156.41	NA	-1
GCF_027358695.1.hist	histogram	assembly	NA	983828946	0.77	135.58	NA	-1
GCF_035149785.1.hist	histogram	assembly	NA	1530782680	0.82	47.19	NA	-1
GCA_048128805.1.hist	histogram	assembly	NA	779008284	0.82	281.17	NA	-1
GCA_028571685.1.hist	histogram	assembly	NA	3487980576	0.81	129.91	NA	-1
GCF_025265405.1.hist	histogram	assembly	NA	2682686045	0.75	50.46	NA	-1
GCA_009819825.1.hist	histogram	assembly	NA	1210303254	0.96	6.32	NA	-1
GCF_028021215.1.hist	histogram	assembly	NA	2982333321	0.69	83.38	NA	-1
GCA_026230055.1.hist	histogram	assembly	NA	2104872748	0.83	70.36	NA	-1
GCA_037038515.1.hist	histogram	assembly	NA	2369117761	0.84	147.84	NA	-1
GCA_020800305.1.hist	histogram	assembly	NA	1264963074	0.87	107.34	NA	-1
GCA_965140915.1.hist	histogram	assembly	NA	1224335780	0.87	297.16	NA	-1
GCA_019207075.1.hist	histogram	assembly	NA	405034593	0.80	73.38	NA	-1
GCA_905319855.2.hist	histogram	assembly	NA	2447410669	0.87	71.14	NA	-1
GCF_028858775.2.hist	histogram	assembly	NA	3172755386	0.77	50.52	NA	-1
GCF_902167405.1.hist	histogram	assembly	NA	638418359	0.75	260.60	NA	-1
GCF_027887155.1.hist	histogram	assembly	NA	2209465303	0.83	26.18	NA	-1
GCF_900324465.2.hist	histogram	assembly	NA	552041995	0.92	142.13	NA	-1
GCF_035609145.1.hist	histogram	assembly	NA	3371117278	0.57	107.76	NA	-1
GCA_027942865.1.hist	histogram	assembly	NA	945717966	0.68	62.54	NA	-1
GCA_964106825.2.hist	histogram	assembly	NA	2411289095	0.88	62.98	NA	-1
GCA_964341445.1.hist	histogram	assembly	NA	3442051478	0.59	45.13	NA	-1
GCF_947461875.1.hist	histogram	assembly	NA	1320212734	0.88	109.14	NA	-1
GCF_040937935.1.hist	histogram	assembly	NA	4912397085	0.49	43.91	NA	-1
GCA_047511565.1.hist	histogram	assembly	NA	675009913	0.81	376.91	NA	-1
GCF_963514075.1.hist	histogram	assembly	NA	1136159418	0.76	140.96	NA	-1
GCA_963264785.1.hist	histogram	assembly	NA	1203744587	0.87	92.01	NA	-1
GCA_031876335.1.hist	histogram	assembly	NA	2338884680	0.82	134.99	NA	-1
GCF_963259705.1.hist	histogram	assembly	NA	2127550731	0.80	99.73	NA	-1
GCA_046562885.1.hist	histogram	assembly	NA	2303309455	0.90	67.83	NA	-1
GCA_028022725.1.hist	histogram	assembly	NA	646282412	0.79	462.30	NA	-1
GCA_043748575.1.hist	histogram	assembly	NA	2185510954	0.86	94.25	NA	-1
GCF_025201925.1.hist	histogram	assembly	NA	2370829030	0.80	35.10	NA	-1
GCA_042242135.1.hist	histogram	assembly	NA	801547427	0.76	178.33	NA	-1
GCA_965152275.1.hist	histogram	assembly	NA	2173410117	0.84	28.32	NA	-1
GCA_964106545.1.hist	histogram	assembly	NA	2696454319	0.81	32.15	NA	-1
GCA_024256435.1.hist	histogram	assembly	NA	972626570	0.79	199.70	NA	-1
GCF_021462225.1.hist	histogram	assembly	NA	1143817503	0.71	106.91	NA	-1
GCA_041903045.1.hist	histogram	assembly	NA	1089378288	0.81	87.22	NA	-1
GCF_018492685.1.hist	histogram	assembly	NA	895570158	0.70	273.56	NA	-1
GCA_963675345.1.hist	histogram	assembly	NA	906780577	0.71	27.67	NA	-1
GCA_048593225.1.hist	histogram	assembly	NA	3228447521	0.80	94.12	NA	-1
GCF_014108235.1.hist	histogram	assembly	NA	1973825434	0.86	93.03	NA	-1
GCF_030014295.1.hist	histogram	assembly	NA	3537154513	0.72	13.39	NA	-1
GCA_964211835.1.hist	histogram	assembly	NA	1313216575	0.82	366.57	NA	-1
GCA_043880285.1.hist	histogram	assembly	NA	2390424456	0.82	133.85	NA	-1
GCA_963971535.1.hist	histogram	assembly	NA	3403762172	0.31	192.10	NA	-1
GCA_964204655.1.hist	histogram	assembly	NA	22319598576	0.50	37.96	NA	-1
GCF_027574615.1.hist	histogram	assembly	NA	2008025619	0.85	90.21	NA	-1
GCF_043641665.1.hist	histogram	assembly	NA	579867767	0.94	216.68	NA	-1
GCF_902148845.1.hist	histogram	assembly	NA	786752529	0.75	201.92	NA	-1
GCA_045364815.1.hist	histogram	assembly	NA	2565285338	0.81	166.99	NA	-1
GCA_964194105.1.hist	histogram	assembly	NA	3089703833	0.70	139.22	NA	-1
GCA_027559615.1.hist	histogram	assembly	NA	1190566830	0.84	140.46	NA	-1
GCF_020740605.2.hist	histogram	assembly	NA	2241948078	0.86	296.86	NA	-1
GCF_902362185.1.hist	histogram	assembly	NA	652694434	0.88	296.05	NA	-1
GCF_023634155.1.hist	histogram	assembly	NA	1304624774	0.88	207.72	NA	-1
GCA_040805955.1.hist	histogram	assembly	NA	2853625237	0.75	74.78	NA	-1
GCF_009819795.1.hist	histogram	assembly	NA	1117579288	0.95	59.40	NA	-1
GCA_964270905.1.hist	histogram	assembly	NA	2675944624	0.76	57.76	NA	-1
GCA_037038545.1.hist	histogram	assembly	NA	2455052603	0.81	59.41	NA	-1
GCF_027358585.1.hist	histogram	assembly	NA	761085648	0.87	222.55	NA	-1
GCA_043880425.1.hist	histogram	assembly	NA	2323065514	0.81	103.34	NA	-1
GCA_964263955.1.hist	histogram	assembly	NA	2836883729	0.36	97.80	NA	-1
GCF_020826845.1.hist	histogram	assembly	NA	3004128029	0.75	150.47	NA	-1
GCF_015220075.1.hist	histogram	assembly	NA	1190478642	0.97	4.96	NA	-1
GCF_963921805.1.hist	histogram	assembly	NA	1283500069	0.90	79.91	NA	-1
GCF_015227675.2.hist	histogram	assembly	NA	2625275977	0.83	149.09	NA	-1
GCA_032164245.1.hist	histogram	assembly	NA	1759277903	0.85	44.53	NA	-1
